,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site,Repeated
55,2,Pooled data Train,0.8303571428571429,0.9135044642857143,0.8303571428571429,0.8303571428571429,['random_Q'],eNKI,0
56,3,Pooled data Test,0.6785714285714286,0.7614795918367347,0.6666666666666666,0.6428571428571429,['random_Q'],eNKI,0
57,3,Pooled data Train,0.8169642857142857,0.9017857142857142,0.8177777777777778,0.8214285714285714,['random_Q'],eNKI,0
58,4,Pooled data Test,0.7321428571428572,0.7933673469387755,0.7457627118644068,0.7857142857142857,['random_Q'],eNKI,0
59,4,Pooled data Train,0.8571428571428571,0.9200414540816325,0.8571428571428571,0.8571428571428571,['random_Q'],eNKI,0
60,5,Pooled data Test,0.75,0.7627551020408163,0.75,0.75,['random_Q'],eNKI,0
61,5,Pooled data Train,0.8526785714285714,0.9112723214285714,0.8506787330316742,0.8392857142857143,['random_Q'],eNKI,0
62,6,Pooled data Test,0.625,0.701530612244898,0.5882352941176471,0.5357142857142857,['random_Q'],eNKI,0
63,6,Pooled data Train,0.8526785714285714,0.9282525510204082,0.852017937219731,0.8482142857142857,['random_Q'],eNKI,0
64,7,Pooled data Test,0.6964285714285714,0.7423469387755102,0.6666666666666666,0.6071428571428571,['random_Q'],eNKI,0
65,7,Pooled data Train,0.8258928571428572,0.9044164540816326,0.8266666666666667,0.8303571428571429,['random_Q'],eNKI,0
66,8,Pooled data Test,0.6785714285714286,0.7040816326530612,0.6666666666666666,0.6428571428571429,['random_Q'],eNKI,0
67,8,Pooled data Train,0.8571428571428572,0.9257812499999999,0.8584070796460177,0.8660714285714286,['random_Q'],eNKI,0
68,9,Pooled data Test,0.6964285714285714,0.7576530612244898,0.6909090909090909,0.6785714285714286,['random_Q'],eNKI,0
69,9,Pooled data Train,0.8526785714285714,0.9244260204081632,0.8506787330316742,0.8392857142857143,['random_Q'],eNKI,0
70,10,Pooled data Test,0.7142857142857143,0.75,0.7241379310344828,0.75,['random_Q'],eNKI,0
71,10,Pooled data Train,0.8392857142857143,0.9142219387755103,0.8392857142857143,0.8392857142857143,['random_Q'],eNKI,0
72,11,Pooled data Test,0.8035714285714286,0.8303571428571428,0.8135593220338984,0.8571428571428571,['random_Q'],eNKI,0
73,11,Pooled data Train,0.8705357142857142,0.9314413265306123,0.8687782805429864,0.8571428571428571,['random_Q'],eNKI,0
74,12,Pooled data Test,0.6071428571428572,0.6607142857142857,0.56,0.5,['random_Q'],eNKI,0
75,12,Pooled data Train,0.8616071428571428,0.9280133928571428,0.8622222222222222,0.8660714285714286,['random_Q'],eNKI,0
76,13,Pooled data Test,0.7142857142857143,0.7525510204081632,0.7333333333333333,0.7857142857142857,['random_Q'],eNKI,0
77,13,Pooled data Train,0.8571428571428572,0.9190051020408163,0.8584070796460177,0.8660714285714286,['random_Q'],eNKI,0
78,14,Pooled data Test,0.6071428571428572,0.7130102040816326,0.5925925925925926,0.5714285714285714,['random_Q'],eNKI,0
79,14,Pooled data Train,0.7991071428571428,0.905373086734694,0.8,0.8035714285714286,['random_Q'],eNKI,0
80,15,Pooled data Test,0.6428571428571428,0.7308673469387755,0.6296296296296297,0.6071428571428571,['random_Q'],eNKI,0
81,15,Pooled data Train,0.8571428571428572,0.9237085459183674,0.8584070796460177,0.8660714285714286,['random_Q'],eNKI,0
82,16,Pooled data Test,0.6785714285714286,0.7704081632653061,0.6666666666666666,0.6428571428571429,['random_Q'],eNKI,0
83,16,Pooled data Train,0.8348214285714286,0.9107142857142856,0.8370044052863436,0.8482142857142857,['random_Q'],eNKI,0
84,17,Pooled data Test,0.6607142857142858,0.7461734693877552,0.6666666666666666,0.6785714285714286,['random_Q'],eNKI,0
85,17,Pooled data Train,0.8392857142857143,0.9104751275510203,0.8378378378378378,0.8303571428571429,['random_Q'],eNKI,0
86,18,Pooled data Test,0.6607142857142857,0.7678571428571429,0.5777777777777777,0.4642857142857143,['random_Q'],eNKI,0
87,18,Pooled data Train,0.8616071428571428,0.9219547193877551,0.8597285067873304,0.8482142857142857,['random_Q'],eNKI,0
88,19,Pooled data Test,0.8035714285714286,0.8673469387755103,0.8135593220338984,0.8571428571428571,['random_Q'],eNKI,0
89,19,Pooled data Train,0.8482142857142857,0.9249840561224489,0.8482142857142857,0.8482142857142857,['random_Q'],eNKI,0
90,20,Pooled data Test,0.7678571428571428,0.8469387755102041,0.7547169811320755,0.7142857142857143,['random_Q'],eNKI,0
