,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site,Repeated
0,0,Pooled data Test,0.6029411764705883,0.6513840830449826,0.5714285714285714,0.5294117647058824,['random_Q'],SALD,0
1,0,Pooled data Train,0.8619402985074627,0.9418021831142793,0.862453531598513,0.8656716417910447,['random_Q'],SALD,0
2,1,Pooled data Test,0.5815508021390374,0.6336898395721924,0.6,0.6176470588235294,['random_Q'],SALD,0
3,1,Pooled data Train,0.8922056384742951,0.950359314538419,0.8921933085501859,0.8955223880597015,['random_Q'],SALD,0
4,2,Pooled data Test,0.46256684491978606,0.5401069518716577,0.47058823529411764,0.47058823529411764,['random_Q'],SALD,0
5,2,Pooled data Train,0.8959369817578773,0.9600884466556108,0.8962962962962963,0.9029850746268657,['random_Q'],SALD,0
6,3,Pooled data Test,0.5222816399286987,0.6087344028520499,0.5151515151515151,0.5151515151515151,['random_Q'],SALD,0
7,3,Pooled data Train,0.8809563294637921,0.94914317302377,0.8840579710144928,0.9037037037037037,['random_Q'],SALD,0
8,4,Pooled data Test,0.5525846702317291,0.5811051693404634,0.5588235294117647,0.5757575757575758,['random_Q'],SALD,0
9,4,Pooled data Train,0.8846600331674959,0.9540630182421227,0.8880866425992779,0.9111111111111111,['random_Q'],SALD,0
10,5,Pooled data Test,0.6323529411764706,0.6167820069204153,0.6376811594202898,0.6470588235294118,['random_Q'],SALD,0
11,5,Pooled data Train,0.8880597014925373,0.9459790599242593,0.8897058823529411,0.9029850746268657,['random_Q'],SALD,0
12,6,Pooled data Test,0.5525846702317291,0.6176470588235294,0.5454545454545454,0.5294117647058824,['random_Q'],SALD,0
13,6,Pooled data Train,0.8772802653399667,0.9489773355444998,0.8754716981132076,0.8656716417910447,['random_Q'],SALD,0
14,7,Pooled data Test,0.6711229946524064,0.6737967914438503,0.6857142857142857,0.7058823529411765,['random_Q'],SALD,0
15,7,Pooled data Train,0.8662797125483692,0.946489773355445,0.8695652173913043,0.8955223880597015,['random_Q'],SALD,0
