site,Original_N,Obtained_N,N_share,n_images_each_bin,age_bins,low_age_cut,high_age_cut,Share_percentage,age_diff,median_low,median_hich,mean_low,mean_hich,std_low,std_high
GSP,1570,458,389,76.33333333333333,3,19,21,1.1773778920308484,2,2.55205,2.5507,2.550577729257642,2.5512087336244544,0.07480657498160145,0.07327590235994448
GSP,1570,1320,833,220.0,3,19,23,1.5846338535414166,4,2.5423,2.541,2.5429967424242426,2.54239946969697,0.07833560726885802,0.0786025311274564
GSP,1570,1336,882,222.66666666666666,3,19,25,1.5147392290249433,6,2.5397499999999997,2.541,2.5397475299401195,2.541717889221557,0.07629795414444818,0.07789219757960984
GSP,1570,620,367,103.33333333333333,3,19,27,1.6893732970027249,8,2.5385,2.53465,2.5357982258064515,2.538415322580645,0.07666901533762313,0.07335344035786728
GSP,1570,402,172,67.0,3,19,29,2.3372093023255816,10,2.53295,2.5316,2.530148507462687,2.5334514925373135,0.0852932936718808,0.07650889968450636
GSP,1570,724,417,120.66666666666667,3,19,31,1.73621103117506,12,2.5345,2.5355,2.534214779005525,2.5368994475138122,0.0780460456693743,0.0805218403727279
GSP,1570,324,153,54.0,3,19,33,2.1176470588235294,14,2.5351,2.53145,2.5345370370370373,2.53166049382716,0.07806781515663093,0.07563832907014262
GSP,1570,156,61,26.0,3,19,35,2.557377049180328,16,2.53465,2.53095,2.529321153846154,2.5315275641025643,0.08130737617581528,0.08708968130701339
GSP,1570,440,387,73.33333333333333,3,21,23,1.1369509043927648,2,2.5392,2.5392,2.537627954545455,2.5401329545454545,0.08225724782903907,0.0795733614060943
GSP,1570,684,353,114.0,3,21,25,1.9376770538243626,4,2.5345,2.53445,2.53680350877193,2.5375179824561402,0.07805423567339416,0.07932286848900048
GSP,1570,620,376,103.33333333333333,3,21,27,1.648936170212766,6,2.5363499999999997,2.5356,2.537204193548387,2.536018387096774,0.07483475850787377,0.07720680901094684
GSP,1570,268,143,44.666666666666664,3,21,29,1.8741258741258742,8,2.5286,2.53055,2.5301645522388063,2.5304664179104477,0.07945870275098832,0.08003686130555669
GSP,1570,240,110,40.0,3,21,31,2.1818181818181817,10,2.51675,2.5303,2.5226475,2.5252525,0.07860558175640964,0.07631277300863719
GSP,1570,324,165,54.0,3,21,33,1.9636363636363636,12,2.5306,2.5246000000000004,2.5306996913580244,2.5305472222222223,0.07815083593794235,0.07819032363743174
GSP,1570,212,114,35.333333333333336,3,21,35,1.8596491228070176,14,2.52745,2.532,2.5210372641509435,2.532841509433963,0.07907403500761086,0.07890336926344231
GSP,1570,228,202,38.0,3,23,25,1.1287128712871286,2,2.53505,2.53585,2.5358210526315794,2.5395592105263156,0.07448609541021582,0.07847952146414902
GSP,1570,246,108,41.0,3,23,27,2.2777777777777777,4,2.527,2.5286,2.5294626016260167,2.5287691056910573,0.07472184545024052,0.07006334059054813
GSP,1570,268,153,44.666666666666664,3,23,29,1.7516339869281046,6,2.5212000000000003,2.5259,2.523888805970149,2.5284361940298505,0.0783416087688181,0.07855198662471118
GSP,1570,160,81,26.666666666666668,3,23,31,1.9753086419753085,8,2.53015,2.53005,2.53301875,2.529786875,0.07781071144796028,0.07952808381923407
GSP,1570,126,57,21.0,3,23,33,2.210526315789474,10,2.53065,2.53095,2.53237619047619,2.531903174603175,0.07910572715405272,0.06585292696487582
GSP,1570,212,124,35.333333333333336,3,23,35,1.7096774193548387,12,2.5221999999999998,2.52745,2.521333962264151,2.529542924528302,0.08554944069474334,0.07623796927502142
GSP,1570,82,67,13.666666666666666,3,25,27,1.2238805970149254,2,2.53525,2.52515,2.5354,2.529271951219512,0.0668129229016862,0.07394125341539433
GSP,1570,156,85,26.0,3,25,29,1.8352941176470587,4,2.5193,2.52,2.5171173076923075,2.5203314102564103,0.07976731496810484,0.08130845911194994
GSP,1570,160,99,26.666666666666668,3,25,31,1.6161616161616161,6,2.5213,2.5221999999999998,2.517106875,2.5221449999999996,0.08162481134220738,0.07730539844623284
GSP,1570,84,46,14.0,3,25,33,1.826086956521739,8,2.5311500000000002,2.53145,2.5288857142857144,2.523891666666667,0.07614142855802711,0.07320412821385283
GSP,1570,72,32,12.0,3,25,35,2.25,10,2.54615,2.53605,2.5388208333333333,2.5299208333333336,0.07785139136408509,0.08802823320701884
GSP,1570,52,41,8.666666666666666,3,27,29,1.2682926829268293,2,2.5151,2.5134499999999997,2.513884615384615,2.513988461538461,0.07986623715378152,0.07932428516661572
GSP,1570,84,38,14.0,3,27,31,2.210526315789474,4,2.5262000000000002,2.5249,2.52885,2.5231559523809524,0.0696498203147684,0.07261392271025718
GSP,1570,84,52,14.0,3,27,33,1.6153846153846154,6,2.52805,2.53065,2.5245976190476194,2.5255952380952382,0.07207240331474991,0.07706524837546136
GSP,1570,48,25,8.0,3,27,35,1.92,8,2.5187999999999997,2.5389,2.506572916666667,2.529945833333333,0.10474143389457095,0.08795930141647189
GSP,1570,28,28,4.666666666666667,3,29,31,1.0,2,2.53065,2.53065,2.53425,2.5342499999999997,0.06524082736719057,0.06524082736719058
GSP,1570,42,24,7.0,3,29,33,1.75,4,2.5372,2.5372,2.5336761904761906,2.533957142857143,0.0756437439888175,0.08505030690028552
GSP,1570,48,28,8.0,3,29,35,1.7142857142857142,6,2.5404,2.53605,2.5346625,2.52744375,0.08813418836963594,0.09154356690099771
GSP,1570,14,10,2.3333333333333335,3,31,33,1.4,2,2.54125,2.54125,2.5304714285714285,2.537742857142857,0.08822570206858377,0.07482440690130371
