site,low_age_cut,high_age_cut,Obtained_N,age_diff,age_bins
CamCAN,53.0,64.0,80,11.0,3
CamCAN,53.0,65.0,80,12.0,3
CamCAN,53.0,66.0,114,13.0,3
CamCAN,53.0,67.0,96,14.0,3
CamCAN,53.0,68.0,96,15.0,3
CamCAN,53.0,69.0,144,16.0,3
CamCAN,53.0,70.0,112,17.0,3
CamCAN,53.0,71.0,112,18.0,3
CamCAN,53.0,72.0,168,19.0,3
CamCAN,53.0,73.0,140,20.0,3
CamCAN,53.0,74.0,140,21.0,3
CamCAN,53.0,75.0,210,22.0,3
CamCAN,53.0,76.0,164,23.0,3
CamCAN,53.0,77.0,164,24.0,3
CamCAN,53.0,78.0,240,25.0,3
CamCAN,53.0,79.0,176,26.0,3
CamCAN,53.0,80.0,176,27.0,3
CamCAN,53.0,81.0,264,28.0,3
CamCAN,53.0,82.0,204,29.0,3
CamCAN,53.0,83.0,204,30.0,3
CamCAN,53.0,84.0,306,31.0,3
CamCAN,53.0,85.0,232,32.0,3
CamCAN,53.0,86.0,232,33.0,3
CamCAN,53.0,87.0,348,34.0,3
CamCAN,53.0,88.0,248,35.0,3
CamCAN,54.0,56.0,16,2.0,3
CamCAN,54.0,57.0,32,3.0,3
CamCAN,54.0,58.0,42,4.0,3
CamCAN,54.0,59.0,44,5.0,3
CamCAN,54.0,60.0,44,6.0,3
CamCAN,54.0,61.0,66,7.0,3
CamCAN,54.0,62.0,60,8.0,3
CamCAN,54.0,63.0,60,9.0,3
CamCAN,54.0,64.0,90,10.0,3
CamCAN,54.0,65.0,76,11.0,3
CamCAN,54.0,66.0,76,12.0,3
CamCAN,54.0,67.0,114,13.0,3
CamCAN,54.0,68.0,96,14.0,3
CamCAN,54.0,69.0,96,15.0,3
CamCAN,54.0,70.0,144,16.0,3
CamCAN,54.0,71.0,120,17.0,3
CamCAN,54.0,72.0,120,18.0,3
CamCAN,54.0,73.0,180,19.0,3
CamCAN,54.0,74.0,144,20.0,3
CamCAN,54.0,75.0,144,21.0,3
CamCAN,54.0,76.0,216,22.0,3
CamCAN,54.0,77.0,156,23.0,3
CamCAN,54.0,78.0,156,24.0,3
CamCAN,54.0,79.0,234,25.0,3
CamCAN,54.0,80.0,184,26.0,3
CamCAN,54.0,81.0,184,27.0,3
CamCAN,54.0,82.0,276,28.0,3
CamCAN,54.0,83.0,212,29.0,3
CamCAN,54.0,84.0,212,30.0,3
CamCAN,54.0,85.0,318,31.0,3
CamCAN,54.0,86.0,228,32.0,3
CamCAN,54.0,87.0,228,33.0,3
CamCAN,54.0,88.0,342,34.0,3
CamCAN,55.0,57.0,16,2.0,3
CamCAN,55.0,58.0,28,3.0,3
CamCAN,55.0,59.0,42,4.0,3
CamCAN,55.0,60.0,44,5.0,3
CamCAN,55.0,61.0,44,6.0,3
CamCAN,55.0,62.0,66,7.0,3
CamCAN,55.0,63.0,60,8.0,3
CamCAN,55.0,64.0,60,9.0,3
CamCAN,55.0,65.0,90,10.0,3
CamCAN,55.0,66.0,80,11.0,3
CamCAN,55.0,67.0,80,12.0,3
CamCAN,55.0,68.0,120,13.0,3
CamCAN,55.0,69.0,100,14.0,3
CamCAN,55.0,70.0,100,15.0,3
CamCAN,55.0,71.0,150,16.0,3
CamCAN,55.0,72.0,128,17.0,3
CamCAN,55.0,73.0,128,18.0,3
CamCAN,55.0,74.0,186,19.0,3
CamCAN,55.0,75.0,140,20.0,3
CamCAN,55.0,76.0,140,21.0,3
CamCAN,55.0,77.0,210,22.0,3
CamCAN,55.0,78.0,168,23.0,3
CamCAN,55.0,79.0,168,24.0,3
CamCAN,55.0,80.0,252,25.0,3
CamCAN,55.0,81.0,192,26.0,3
CamCAN,55.0,82.0,192,27.0,3
CamCAN,55.0,83.0,288,28.0,3
CamCAN,55.0,84.0,204,29.0,3
CamCAN,55.0,85.0,204,30.0,3
CamCAN,55.0,86.0,306,31.0,3
CamCAN,55.0,87.0,228,32.0,3
CamCAN,55.0,88.0,228,33.0,3
CamCAN,56.0,58.0,14,2.0,3
CamCAN,56.0,59.0,28,3.0,3
CamCAN,56.0,60.0,42,4.0,3
CamCAN,56.0,61.0,44,5.0,3
CamCAN,56.0,62.0,44,6.0,3
CamCAN,56.0,63.0,66,7.0,3
CamCAN,56.0,64.0,64,8.0,3
CamCAN,56.0,65.0,64,9.0,3
CamCAN,56.0,66.0,96,10.0,3
CamCAN,56.0,67.0,84,11.0,3
CamCAN,56.0,68.0,84,12.0,3
CamCAN,56.0,69.0,126,13.0,3
CamCAN,56.0,70.0,108,14.0,3
CamCAN,56.0,71.0,108,15.0,3
CamCAN,56.0,72.0,156,16.0,3
CamCAN,56.0,73.0,124,17.0,3
CamCAN,56.0,74.0,124,18.0,3
CamCAN,56.0,75.0,186,19.0,3
CamCAN,56.0,76.0,152,20.0,3
CamCAN,56.0,77.0,152,21.0,3
CamCAN,56.0,78.0,198,22.0,3
CamCAN,56.0,79.0,172,23.0,3
CamCAN,56.0,80.0,172,24.0,3
CamCAN,56.0,81.0,258,25.0,3
CamCAN,56.0,82.0,188,26.0,3
CamCAN,56.0,83.0,188,27.0,3
CamCAN,56.0,84.0,282,28.0,3
CamCAN,56.0,85.0,204,29.0,3
CamCAN,56.0,86.0,204,30.0,3
CamCAN,56.0,87.0,306,31.0,3
CamCAN,56.0,88.0,228,32.0,3
CamCAN,57.0,59.0,14,2.0,3
CamCAN,57.0,60.0,28,3.0,3
CamCAN,57.0,61.0,42,4.0,3
CamCAN,57.0,62.0,44,5.0,3
CamCAN,57.0,63.0,44,6.0,3
CamCAN,57.0,64.0,66,7.0,3
CamCAN,57.0,65.0,68,8.0,3
CamCAN,57.0,66.0,68,9.0,3
CamCAN,57.0,67.0,102,10.0,3
CamCAN,57.0,68.0,76,11.0,3
CamCAN,57.0,69.0,76,12.0,3
CamCAN,57.0,70.0,114,13.0,3
CamCAN,57.0,71.0,108,14.0,3
CamCAN,57.0,72.0,108,15.0,3
CamCAN,57.0,73.0,162,16.0,3
CamCAN,57.0,74.0,128,17.0,3
CamCAN,57.0,75.0,128,18.0,3
CamCAN,57.0,76.0,192,19.0,3
CamCAN,57.0,77.0,144,20.0,3
CamCAN,57.0,78.0,144,21.0,3
CamCAN,57.0,79.0,216,22.0,3
CamCAN,57.0,80.0,160,23.0,3
CamCAN,57.0,81.0,160,24.0,3
CamCAN,57.0,82.0,240,25.0,3
CamCAN,57.0,83.0,180,26.0,3
CamCAN,57.0,84.0,180,27.0,3
CamCAN,57.0,85.0,270,28.0,3
CamCAN,57.0,86.0,212,29.0,3
CamCAN,57.0,87.0,212,30.0,3
CamCAN,57.0,88.0,306,31.0,3
CamCAN,58.0,60.0,18,2.0,3
CamCAN,58.0,61.0,36,3.0,3
CamCAN,58.0,62.0,48,4.0,3
CamCAN,58.0,63.0,52,5.0,3
CamCAN,58.0,64.0,52,6.0,3
CamCAN,58.0,65.0,78,7.0,3
CamCAN,58.0,66.0,60,8.0,3
CamCAN,58.0,67.0,60,9.0,3
CamCAN,58.0,68.0,90,10.0,3
CamCAN,58.0,69.0,92,11.0,3
CamCAN,58.0,70.0,92,12.0,3
CamCAN,58.0,71.0,114,13.0,3
CamCAN,58.0,72.0,108,14.0,3
CamCAN,58.0,73.0,108,15.0,3
CamCAN,58.0,74.0,162,16.0,3
CamCAN,58.0,75.0,124,17.0,3
CamCAN,58.0,76.0,124,18.0,3
CamCAN,58.0,77.0,186,19.0,3
CamCAN,58.0,78.0,140,20.0,3
CamCAN,58.0,79.0,140,21.0,3
CamCAN,58.0,80.0,210,22.0,3
CamCAN,58.0,81.0,164,23.0,3
CamCAN,58.0,82.0,164,24.0,3
CamCAN,58.0,83.0,246,25.0,3
CamCAN,58.0,84.0,188,26.0,3
CamCAN,58.0,85.0,188,27.0,3
CamCAN,58.0,86.0,282,28.0,3
CamCAN,58.0,87.0,216,29.0,3
CamCAN,58.0,88.0,216,30.0,3
CamCAN,59.0,61.0,18,2.0,3
CamCAN,59.0,62.0,32,3.0,3
CamCAN,59.0,63.0,42,4.0,3
CamCAN,59.0,64.0,44,5.0,3
CamCAN,59.0,65.0,44,6.0,3
CamCAN,59.0,66.0,66,7.0,3
CamCAN,59.0,67.0,64,8.0,3
CamCAN,59.0,68.0,64,9.0,3
CamCAN,59.0,69.0,96,10.0,3
CamCAN,59.0,70.0,80,11.0,3
CamCAN,59.0,71.0,80,12.0,3
CamCAN,59.0,72.0,120,13.0,3
CamCAN,59.0,73.0,96,14.0,3
CamCAN,59.0,74.0,96,15.0,3
CamCAN,59.0,75.0,144,16.0,3
CamCAN,59.0,76.0,112,17.0,3
CamCAN,59.0,77.0,112,18.0,3
CamCAN,59.0,78.0,168,19.0,3
CamCAN,59.0,79.0,140,20.0,3
CamCAN,59.0,80.0,140,21.0,3
CamCAN,59.0,81.0,210,22.0,3
CamCAN,59.0,82.0,164,23.0,3
CamCAN,59.0,83.0,164,24.0,3
CamCAN,59.0,84.0,246,25.0,3
CamCAN,59.0,85.0,200,26.0,3
CamCAN,59.0,86.0,200,27.0,3
CamCAN,59.0,87.0,294,28.0,3
CamCAN,59.0,88.0,216,29.0,3
CamCAN,60.0,62.0,16,2.0,3
CamCAN,60.0,63.0,28,3.0,3
CamCAN,60.0,64.0,42,4.0,3
CamCAN,60.0,65.0,52,5.0,3
CamCAN,60.0,66.0,52,6.0,3
CamCAN,60.0,67.0,78,7.0,3
CamCAN,60.0,68.0,68,8.0,3
CamCAN,60.0,69.0,68,9.0,3
CamCAN,60.0,70.0,84,10.0,3
CamCAN,60.0,71.0,84,11.0,3
CamCAN,60.0,72.0,84,12.0,3
CamCAN,60.0,73.0,126,13.0,3
CamCAN,60.0,74.0,100,14.0,3
CamCAN,60.0,75.0,100,15.0,3
CamCAN,60.0,76.0,150,16.0,3
CamCAN,60.0,77.0,124,17.0,3
CamCAN,60.0,78.0,124,18.0,3
CamCAN,60.0,79.0,180,19.0,3
CamCAN,60.0,80.0,148,20.0,3
CamCAN,60.0,81.0,148,21.0,3
CamCAN,60.0,82.0,222,22.0,3
CamCAN,60.0,83.0,180,23.0,3
CamCAN,60.0,84.0,180,24.0,3
CamCAN,60.0,85.0,270,25.0,3
CamCAN,60.0,86.0,188,26.0,3
CamCAN,60.0,87.0,188,27.0,3
CamCAN,60.0,88.0,270,28.0,3
CamCAN,61.0,63.0,14,2.0,3
CamCAN,61.0,64.0,28,3.0,3
CamCAN,61.0,65.0,42,4.0,3
CamCAN,61.0,66.0,44,5.0,3
CamCAN,61.0,67.0,44,6.0,3
CamCAN,61.0,68.0,66,7.0,3
CamCAN,61.0,69.0,60,8.0,3
CamCAN,61.0,70.0,60,9.0,3
CamCAN,61.0,71.0,90,10.0,3
CamCAN,61.0,72.0,76,11.0,3
CamCAN,61.0,73.0,76,12.0,3
CamCAN,61.0,74.0,114,13.0,3
CamCAN,61.0,75.0,104,14.0,3
CamCAN,61.0,76.0,104,15.0,3
CamCAN,61.0,77.0,156,16.0,3
CamCAN,61.0,78.0,124,17.0,3
CamCAN,61.0,79.0,124,18.0,3
CamCAN,61.0,80.0,186,19.0,3
CamCAN,61.0,81.0,156,20.0,3
CamCAN,61.0,82.0,156,21.0,3
CamCAN,61.0,83.0,234,22.0,3
CamCAN,61.0,84.0,160,23.0,3
CamCAN,61.0,85.0,160,24.0,3
CamCAN,61.0,86.0,240,25.0,3
CamCAN,61.0,87.0,192,26.0,3
CamCAN,61.0,88.0,192,27.0,3
CamCAN,62.0,64.0,18,2.0,3
CamCAN,62.0,65.0,32,3.0,3
CamCAN,62.0,66.0,48,4.0,3
CamCAN,62.0,67.0,52,5.0,3
CamCAN,62.0,68.0,52,6.0,3
CamCAN,62.0,69.0,60,7.0,3
CamCAN,62.0,70.0,64,8.0,3
CamCAN,62.0,71.0,64,9.0,3
CamCAN,62.0,72.0,96,10.0,3
CamCAN,62.0,73.0,76,11.0,3
CamCAN,62.0,74.0,76,12.0,3
CamCAN,62.0,75.0,114,13.0,3
CamCAN,62.0,76.0,108,14.0,3
CamCAN,62.0,77.0,108,15.0,3
CamCAN,62.0,78.0,138,16.0,3
CamCAN,62.0,79.0,132,17.0,3
CamCAN,62.0,80.0,132,18.0,3
CamCAN,62.0,81.0,198,19.0,3
CamCAN,62.0,82.0,148,20.0,3
CamCAN,62.0,83.0,148,21.0,3
CamCAN,62.0,84.0,222,22.0,3
CamCAN,62.0,85.0,160,23.0,3
CamCAN,62.0,86.0,160,24.0,3
CamCAN,62.0,87.0,240,25.0,3
CamCAN,62.0,88.0,196,26.0,3
CamCAN,63.0,65.0,16,2.0,3
CamCAN,63.0,66.0,32,3.0,3
CamCAN,63.0,67.0,48,4.0,3
CamCAN,63.0,68.0,48,5.0,3
CamCAN,63.0,69.0,48,6.0,3
CamCAN,63.0,70.0,60,7.0,3
CamCAN,63.0,71.0,56,8.0,3
CamCAN,63.0,72.0,56,9.0,3
CamCAN,63.0,73.0,84,10.0,3
CamCAN,63.0,74.0,88,11.0,3
CamCAN,63.0,75.0,88,12.0,3
CamCAN,63.0,76.0,126,13.0,3
CamCAN,63.0,77.0,116,14.0,3
CamCAN,63.0,78.0,116,15.0,3
CamCAN,63.0,79.0,150,16.0,3
CamCAN,63.0,80.0,128,17.0,3
CamCAN,63.0,81.0,128,18.0,3
CamCAN,63.0,82.0,192,19.0,3
CamCAN,63.0,83.0,132,20.0,3
CamCAN,63.0,84.0,132,21.0,3
CamCAN,63.0,85.0,198,22.0,3
CamCAN,63.0,86.0,184,23.0,3
CamCAN,63.0,87.0,184,24.0,3
CamCAN,63.0,88.0,234,25.0,3
CamCAN,64.0,66.0,16,2.0,3
CamCAN,64.0,67.0,32,3.0,3
CamCAN,64.0,68.0,36,4.0,3
CamCAN,64.0,69.0,40,5.0,3
CamCAN,64.0,70.0,40,6.0,3
CamCAN,64.0,71.0,60,7.0,3
CamCAN,64.0,72.0,60,8.0,3
CamCAN,64.0,73.0,60,9.0,3
CamCAN,64.0,74.0,90,10.0,3
CamCAN,64.0,75.0,92,11.0,3
CamCAN,64.0,76.0,92,12.0,3
CamCAN,64.0,77.0,126,13.0,3
CamCAN,64.0,78.0,108,14.0,3
CamCAN,64.0,79.0,108,15.0,3
CamCAN,64.0,80.0,162,16.0,3
CamCAN,64.0,81.0,124,17.0,3
CamCAN,64.0,82.0,124,18.0,3
CamCAN,64.0,83.0,186,19.0,3
CamCAN,64.0,84.0,144,20.0,3
CamCAN,64.0,85.0,144,21.0,3
CamCAN,64.0,86.0,216,22.0,3
CamCAN,64.0,87.0,176,23.0,3
CamCAN,64.0,88.0,176,24.0,3
CamCAN,65.0,67.0,20,2.0,3
CamCAN,65.0,68.0,24,3.0,3
CamCAN,65.0,69.0,36,4.0,3
CamCAN,65.0,70.0,40,5.0,3
CamCAN,65.0,71.0,40,6.0,3
CamCAN,65.0,72.0,60,7.0,3
CamCAN,65.0,73.0,64,8.0,3
CamCAN,65.0,74.0,64,9.0,3
CamCAN,65.0,75.0,96,10.0,3
CamCAN,65.0,76.0,80,11.0,3
CamCAN,65.0,77.0,80,12.0,3
CamCAN,65.0,78.0,108,13.0,3
CamCAN,65.0,79.0,100,14.0,3
CamCAN,65.0,80.0,100,15.0,3
CamCAN,65.0,81.0,150,16.0,3
CamCAN,65.0,82.0,116,17.0,3
CamCAN,65.0,83.0,116,18.0,3
CamCAN,65.0,84.0,174,19.0,3
CamCAN,65.0,85.0,148,20.0,3
CamCAN,65.0,86.0,148,21.0,3
CamCAN,65.0,87.0,222,22.0,3
CamCAN,65.0,88.0,164,23.0,3
CamCAN,66.0,68.0,12,2.0,3
CamCAN,66.0,69.0,24,3.0,3
CamCAN,66.0,70.0,36,4.0,3
CamCAN,66.0,71.0,40,5.0,3
CamCAN,66.0,72.0,40,6.0,3
CamCAN,66.0,73.0,60,7.0,3
CamCAN,66.0,74.0,56,8.0,3
CamCAN,66.0,75.0,56,9.0,3
CamCAN,66.0,76.0,84,10.0,3
CamCAN,66.0,77.0,76,11.0,3
CamCAN,66.0,78.0,76,12.0,3
CamCAN,66.0,79.0,114,13.0,3
CamCAN,66.0,80.0,104,14.0,3
CamCAN,66.0,81.0,104,15.0,3
CamCAN,66.0,82.0,156,16.0,3
CamCAN,66.0,83.0,120,17.0,3
CamCAN,66.0,84.0,120,18.0,3
CamCAN,66.0,85.0,180,19.0,3
CamCAN,66.0,86.0,140,20.0,3
CamCAN,66.0,87.0,140,21.0,3
CamCAN,66.0,88.0,174,22.0,3
CamCAN,67.0,69.0,12,2.0,3
CamCAN,67.0,70.0,24,3.0,3
CamCAN,67.0,71.0,36,4.0,3
CamCAN,67.0,72.0,40,5.0,3
CamCAN,67.0,73.0,40,6.0,3
CamCAN,67.0,74.0,60,7.0,3
CamCAN,67.0,75.0,60,8.0,3
CamCAN,67.0,76.0,60,9.0,3
CamCAN,67.0,77.0,90,10.0,3
CamCAN,67.0,78.0,84,11.0,3
CamCAN,67.0,79.0,84,12.0,3
CamCAN,67.0,80.0,126,13.0,3
CamCAN,67.0,81.0,92,14.0,3
CamCAN,67.0,82.0,92,15.0,3
CamCAN,67.0,83.0,138,16.0,3
CamCAN,67.0,84.0,124,17.0,3
CamCAN,67.0,85.0,124,18.0,3
CamCAN,67.0,86.0,186,19.0,3
CamCAN,67.0,87.0,148,20.0,3
CamCAN,67.0,88.0,148,21.0,3
CamCAN,68.0,70.0,16,2.0,3
CamCAN,68.0,71.0,32,3.0,3
CamCAN,68.0,72.0,48,4.0,3
CamCAN,68.0,73.0,52,5.0,3
CamCAN,68.0,74.0,52,6.0,3
CamCAN,68.0,75.0,60,7.0,3
CamCAN,68.0,76.0,64,8.0,3
CamCAN,68.0,77.0,64,9.0,3
CamCAN,68.0,78.0,84,10.0,3
CamCAN,68.0,79.0,84,11.0,3
CamCAN,68.0,80.0,84,12.0,3
CamCAN,68.0,81.0,126,13.0,3
CamCAN,68.0,82.0,100,14.0,3
CamCAN,68.0,83.0,100,15.0,3
CamCAN,68.0,84.0,150,16.0,3
CamCAN,68.0,85.0,140,17.0,3
CamCAN,68.0,86.0,140,18.0,3
CamCAN,68.0,87.0,162,19.0,3
CamCAN,68.0,88.0,156,20.0,3
CamCAN,69.0,71.0,18,2.0,3
CamCAN,69.0,72.0,36,3.0,3
CamCAN,69.0,73.0,54,4.0,3
CamCAN,69.0,74.0,60,5.0,3
CamCAN,69.0,75.0,60,6.0,3
CamCAN,69.0,76.0,60,7.0,3
CamCAN,69.0,77.0,60,8.0,3
CamCAN,69.0,78.0,60,9.0,3
CamCAN,69.0,79.0,90,10.0,3
CamCAN,69.0,80.0,72,11.0,3
CamCAN,69.0,81.0,72,12.0,3
CamCAN,69.0,82.0,108,13.0,3
CamCAN,69.0,83.0,108,14.0,3
CamCAN,69.0,84.0,108,15.0,3
CamCAN,69.0,85.0,162,16.0,3
CamCAN,69.0,86.0,128,17.0,3
CamCAN,69.0,87.0,128,18.0,3
CamCAN,69.0,88.0,126,19.0,3
CamCAN,70.0,72.0,20,2.0,3
CamCAN,70.0,73.0,40,3.0,3
CamCAN,70.0,74.0,54,4.0,3
CamCAN,70.0,75.0,40,5.0,3
CamCAN,70.0,76.0,40,6.0,3
CamCAN,70.0,77.0,60,7.0,3
CamCAN,70.0,78.0,64,8.0,3
CamCAN,70.0,79.0,64,9.0,3
CamCAN,70.0,80.0,96,10.0,3
CamCAN,70.0,81.0,80,11.0,3
CamCAN,70.0,82.0,80,12.0,3
CamCAN,70.0,83.0,120,13.0,3
CamCAN,70.0,84.0,100,14.0,3
CamCAN,70.0,85.0,100,15.0,3
CamCAN,70.0,86.0,144,16.0,3
CamCAN,70.0,87.0,124,17.0,3
CamCAN,70.0,88.0,124,18.0,3
CamCAN,71.0,73.0,22,2.0,3
CamCAN,71.0,74.0,36,3.0,3
CamCAN,71.0,75.0,30,4.0,3
CamCAN,71.0,76.0,40,5.0,3
CamCAN,71.0,77.0,40,6.0,3
CamCAN,71.0,78.0,60,7.0,3
CamCAN,71.0,79.0,56,8.0,3
CamCAN,71.0,80.0,56,9.0,3
CamCAN,71.0,81.0,84,10.0,3
CamCAN,71.0,82.0,84,11.0,3
CamCAN,71.0,83.0,84,12.0,3
CamCAN,71.0,84.0,126,13.0,3
CamCAN,71.0,85.0,108,14.0,3
CamCAN,71.0,86.0,108,15.0,3
CamCAN,71.0,87.0,114,16.0,3
CamCAN,71.0,88.0,116,17.0,3
CamCAN,72.0,74.0,18,2.0,3
CamCAN,72.0,75.0,20,3.0,3
CamCAN,72.0,76.0,30,4.0,3
CamCAN,72.0,77.0,40,5.0,3
CamCAN,72.0,78.0,40,6.0,3
CamCAN,72.0,79.0,60,7.0,3
CamCAN,72.0,80.0,60,8.0,3
CamCAN,72.0,81.0,60,9.0,3
CamCAN,72.0,82.0,90,10.0,3
CamCAN,72.0,83.0,84,11.0,3
CamCAN,72.0,84.0,84,12.0,3
CamCAN,72.0,85.0,126,13.0,3
CamCAN,72.0,86.0,92,14.0,3
CamCAN,72.0,87.0,92,15.0,3
CamCAN,72.0,88.0,108,16.0,3
CamCAN,73.0,75.0,10,2.0,3
CamCAN,73.0,76.0,20,3.0,3
CamCAN,73.0,77.0,30,4.0,3
CamCAN,73.0,78.0,40,5.0,3
CamCAN,73.0,79.0,40,6.0,3
CamCAN,73.0,80.0,60,7.0,3
CamCAN,73.0,81.0,64,8.0,3
CamCAN,73.0,82.0,64,9.0,3
CamCAN,73.0,83.0,96,10.0,3
CamCAN,73.0,84.0,72,11.0,3
CamCAN,73.0,85.0,72,12.0,3
CamCAN,73.0,86.0,96,13.0,3
CamCAN,73.0,87.0,100,14.0,3
CamCAN,73.0,88.0,100,15.0,3
CamCAN,74.0,76.0,12,2.0,3
CamCAN,74.0,77.0,24,3.0,3
CamCAN,74.0,78.0,36,4.0,3
CamCAN,74.0,79.0,48,5.0,3
CamCAN,74.0,80.0,48,6.0,3
CamCAN,74.0,81.0,72,7.0,3
CamCAN,74.0,82.0,56,8.0,3
CamCAN,74.0,83.0,56,9.0,3
CamCAN,74.0,84.0,84,10.0,3
CamCAN,74.0,85.0,84,11.0,3
CamCAN,74.0,86.0,84,12.0,3
CamCAN,74.0,87.0,102,13.0,3
CamCAN,74.0,88.0,124,14.0,3
CamCAN,75.0,77.0,20,2.0,3
CamCAN,75.0,78.0,32,3.0,3
CamCAN,75.0,79.0,48,4.0,3
CamCAN,75.0,80.0,52,5.0,3
CamCAN,75.0,81.0,52,6.0,3
CamCAN,75.0,82.0,78,7.0,3
CamCAN,75.0,83.0,80,8.0,3
CamCAN,75.0,84.0,80,9.0,3
CamCAN,75.0,85.0,78,10.0,3
CamCAN,75.0,86.0,116,11.0,3
CamCAN,75.0,87.0,116,12.0,3
CamCAN,75.0,88.0,84,13.0,3
CamCAN,76.0,78.0,16,2.0,3
CamCAN,76.0,79.0,32,3.0,3
CamCAN,76.0,80.0,48,4.0,3
CamCAN,76.0,81.0,60,5.0,3
CamCAN,76.0,82.0,60,6.0,3
CamCAN,76.0,83.0,90,7.0,3
CamCAN,76.0,84.0,100,8.0,3
CamCAN,76.0,85.0,100,9.0,3
CamCAN,76.0,86.0,84,10.0,3
CamCAN,76.0,87.0,84,11.0,3
CamCAN,76.0,88.0,84,12.0,3
CamCAN,77.0,79.0,18,2.0,3
CamCAN,77.0,80.0,36,3.0,3
CamCAN,77.0,81.0,54,4.0,3
CamCAN,77.0,82.0,76,5.0,3
CamCAN,77.0,83.0,76,6.0,3
CamCAN,77.0,84.0,66,7.0,3
CamCAN,77.0,85.0,76,8.0,3
CamCAN,77.0,86.0,76,9.0,3
CamCAN,77.0,87.0,72,10.0,3
CamCAN,77.0,88.0,64,11.0,3
CamCAN,78.0,80.0,32,2.0,3
CamCAN,78.0,81.0,64,3.0,3
CamCAN,78.0,82.0,60,4.0,3
CamCAN,78.0,83.0,60,5.0,3
CamCAN,78.0,84.0,60,6.0,3
CamCAN,78.0,85.0,66,7.0,3
CamCAN,78.0,86.0,52,8.0,3
CamCAN,78.0,87.0,52,9.0,3
CamCAN,78.0,88.0,54,10.0,3
CamCAN,79.0,81.0,36,2.0,3
CamCAN,79.0,82.0,40,3.0,3
CamCAN,79.0,83.0,42,4.0,3
CamCAN,79.0,84.0,44,5.0,3
CamCAN,79.0,85.0,44,6.0,3
CamCAN,79.0,86.0,54,7.0,3
CamCAN,79.0,87.0,56,8.0,3
CamCAN,79.0,88.0,56,9.0,3
CamCAN,80.0,82.0,20,2.0,3
CamCAN,80.0,83.0,28,3.0,3
CamCAN,80.0,84.0,42,4.0,3
CamCAN,80.0,85.0,44,5.0,3
CamCAN,80.0,86.0,44,6.0,3
CamCAN,80.0,87.0,48,7.0,3
CamCAN,80.0,88.0,48,8.0,3
CamCAN,81.0,83.0,14,2.0,3
CamCAN,81.0,84.0,28,3.0,3
CamCAN,81.0,85.0,36,4.0,3
CamCAN,81.0,86.0,36,5.0,3
CamCAN,81.0,87.0,36,6.0,3
CamCAN,81.0,88.0,36,7.0,3
CamCAN,82.0,84.0,18,2.0,3
CamCAN,82.0,85.0,24,3.0,3
CamCAN,82.0,86.0,30,4.0,3
CamCAN,82.0,87.0,32,5.0,3
CamCAN,82.0,88.0,32,6.0,3
CamCAN,83.0,85.0,12,2.0,3
CamCAN,83.0,86.0,20,3.0,3
CamCAN,83.0,87.0,30,4.0,3
CamCAN,83.0,88.0,24,5.0,3
CamCAN,84.0,86.0,10,2.0,3
CamCAN,84.0,87.0,20,3.0,3
CamCAN,84.0,88.0,12,4.0,3
CamCAN,85.0,87.0,10,2.0,3
CamCAN,85.0,88.0,8,3.0,3
CamCAN,86.0,88.0,4,2.0,3
SALD,19.0,21.0,4,2.0,3
SALD,19.0,22.0,8,3.0,3
SALD,19.0,23.0,12,4.0,3
SALD,19.0,24.0,28,5.0,3
SALD,19.0,25.0,28,6.0,3
SALD,19.0,26.0,42,7.0,3
SALD,19.0,27.0,52,8.0,3
SALD,19.0,28.0,52,9.0,3
SALD,19.0,29.0,78,10.0,3
SALD,19.0,30.0,92,11.0,3
SALD,19.0,31.0,92,12.0,3
SALD,19.0,32.0,60,13.0,3
SALD,19.0,33.0,128,14.0,3
SALD,19.0,34.0,128,15.0,3
SALD,19.0,35.0,72,16.0,3
SALD,19.0,36.0,100,17.0,3
SALD,19.0,37.0,100,18.0,3
SALD,19.0,38.0,78,19.0,3
SALD,19.0,39.0,72,20.0,3
SALD,19.0,40.0,72,21.0,3
SALD,19.0,41.0,108,22.0,3
SALD,19.0,42.0,80,23.0,3
SALD,19.0,43.0,80,24.0,3
SALD,19.0,44.0,96,25.0,3
SALD,19.0,45.0,72,26.0,3
SALD,19.0,46.0,72,27.0,3
SALD,19.0,47.0,102,28.0,3
SALD,19.0,48.0,88,29.0,3
SALD,19.0,49.0,88,30.0,3
SALD,19.0,50.0,132,31.0,3
SALD,19.0,51.0,100,32.0,3
SALD,19.0,52.0,100,33.0,3
SALD,19.0,53.0,138,34.0,3
SALD,19.0,54.0,96,35.0,3
SALD,19.0,55.0,96,36.0,3
SALD,19.0,56.0,144,37.0,3
SALD,19.0,57.0,108,38.0,3
SALD,19.0,58.0,108,39.0,3
SALD,19.0,59.0,162,40.0,3
SALD,19.0,60.0,120,41.0,3
SALD,19.0,61.0,120,42.0,3
SALD,19.0,62.0,180,43.0,3
SALD,19.0,63.0,128,44.0,3
SALD,19.0,64.0,128,45.0,3
SALD,19.0,65.0,192,46.0,3
SALD,19.0,66.0,128,47.0,3
SALD,19.0,68.0,192,49.0,3
SALD,19.0,69.0,144,50.0,3
SALD,19.0,70.0,144,51.0,3
SALD,19.0,71.0,216,52.0,3
SALD,19.0,72.0,168,53.0,3
SALD,19.0,73.0,168,54.0,3
SALD,19.0,74.0,252,55.0,3
