site,low_age_cut,high_age_cut,Obtained_N,age_diff,age_bins
eNKI,19.0,21.0,24,2.0,3
eNKI,19.0,22.0,48,3.0,3
eNKI,19.0,23.0,72,4.0,3
eNKI,19.0,24.0,92,5.0,3
eNKI,19.0,25.0,92,6.0,3
eNKI,19.0,26.0,138,7.0,3
eNKI,19.0,27.0,152,8.0,3
eNKI,19.0,28.0,152,9.0,3
eNKI,19.0,29.0,162,10.0,3
eNKI,19.0,30.0,168,11.0,3
eNKI,19.0,31.0,168,12.0,3
eNKI,19.0,32.0,162,13.0,3
eNKI,19.0,33.0,152,14.0,3
eNKI,19.0,34.0,152,15.0,3
eNKI,19.0,35.0,156,16.0,3
eNKI,19.0,36.0,160,17.0,3
eNKI,19.0,37.0,160,18.0,3
eNKI,19.0,38.0,156,19.0,3
eNKI,19.0,39.0,180,20.0,3
eNKI,19.0,40.0,180,21.0,3
eNKI,19.0,41.0,156,22.0,3
eNKI,19.0,42.0,168,23.0,3
eNKI,19.0,43.0,168,24.0,3
eNKI,19.0,44.0,192,25.0,3
eNKI,19.0,45.0,172,26.0,3
eNKI,19.0,46.0,172,27.0,3
eNKI,19.0,47.0,228,28.0,3
eNKI,19.0,48.0,172,29.0,3
eNKI,19.0,49.0,172,30.0,3
eNKI,19.0,50.0,216,31.0,3
eNKI,19.0,51.0,168,32.0,3
eNKI,19.0,52.0,168,33.0,3
eNKI,19.0,53.0,252,34.0,3
eNKI,19.0,54.0,192,35.0,3
eNKI,19.0,55.0,192,36.0,3
eNKI,19.0,56.0,258,37.0,3
eNKI,19.0,57.0,208,38.0,3
eNKI,19.0,58.0,208,39.0,3
eNKI,19.0,59.0,282,40.0,3
eNKI,19.0,60.0,212,41.0,3
eNKI,19.0,61.0,212,42.0,3
eNKI,19.0,62.0,318,43.0,3
eNKI,19.0,63.0,224,44.0,3
eNKI,19.0,64.0,224,45.0,3
eNKI,19.0,65.0,336,46.0,3
eNKI,19.0,66.0,252,47.0,3
eNKI,19.0,67.0,252,48.0,3
eNKI,19.0,68.0,378,49.0,3
eNKI,19.0,69.0,260,50.0,3
eNKI,19.0,70.0,260,51.0,3
eNKI,19.0,71.0,390,52.0,3
eNKI,19.0,72.0,260,53.0,3
eNKI,19.0,73.0,260,54.0,3
eNKI,19.0,74.0,390,55.0,3
eNKI,19.0,75.0,288,56.0,3
eNKI,19.0,76.0,288,57.0,3
eNKI,19.0,77.0,432,58.0,3
eNKI,19.0,78.0,284,59.0,3
eNKI,19.0,79.0,284,60.0,3
eNKI,19.0,80.0,426,61.0,3
eNKI,19.0,81.0,320,62.0,3
eNKI,19.0,82.0,320,63.0,3
eNKI,19.0,83.0,462,64.0,3
eNKI,19.0,84.0,340,65.0,3
eNKI,19.0,85.0,340,66.0,3
eNKI,20.0,22.0,34,2.0,3
eNKI,20.0,23.0,68,3.0,3
eNKI,20.0,24.0,102,4.0,3
eNKI,20.0,25.0,128,5.0,3
eNKI,20.0,26.0,128,6.0,3
eNKI,20.0,27.0,114,7.0,3
eNKI,20.0,28.0,140,8.0,3
eNKI,20.0,29.0,140,9.0,3
eNKI,20.0,30.0,162,10.0,3
eNKI,20.0,31.0,132,11.0,3
eNKI,20.0,32.0,132,12.0,3
eNKI,20.0,33.0,150,13.0,3
eNKI,20.0,34.0,148,14.0,3
eNKI,20.0,35.0,148,15.0,3
eNKI,20.0,36.0,138,16.0,3
eNKI,20.0,37.0,164,17.0,3
eNKI,20.0,38.0,164,18.0,3
eNKI,20.0,39.0,180,19.0,3
eNKI,20.0,40.0,160,20.0,3
eNKI,20.0,41.0,160,21.0,3
eNKI,20.0,42.0,144,22.0,3
eNKI,20.0,43.0,156,23.0,3
eNKI,20.0,44.0,156,24.0,3
eNKI,20.0,45.0,204,25.0,3
eNKI,20.0,46.0,172,26.0,3
eNKI,20.0,47.0,172,27.0,3
eNKI,20.0,48.0,216,28.0,3
eNKI,20.0,49.0,160,29.0,3
eNKI,20.0,50.0,160,30.0,3
eNKI,20.0,51.0,240,31.0,3
eNKI,20.0,52.0,176,32.0,3
eNKI,20.0,53.0,176,33.0,3
eNKI,20.0,54.0,264,34.0,3
eNKI,20.0,55.0,196,35.0,3
eNKI,20.0,56.0,196,36.0,3
eNKI,20.0,57.0,240,37.0,3
eNKI,20.0,58.0,204,38.0,3
eNKI,20.0,59.0,204,39.0,3
eNKI,20.0,60.0,294,40.0,3
eNKI,20.0,61.0,204,41.0,3
eNKI,20.0,62.0,204,42.0,3
eNKI,20.0,63.0,306,43.0,3
eNKI,20.0,64.0,236,44.0,3
eNKI,20.0,65.0,236,45.0,3
eNKI,20.0,66.0,354,46.0,3
eNKI,20.0,67.0,248,47.0,3
eNKI,20.0,68.0,248,48.0,3
eNKI,20.0,69.0,372,49.0,3
eNKI,20.0,70.0,248,50.0,3
eNKI,20.0,71.0,248,51.0,3
eNKI,20.0,72.0,372,52.0,3
eNKI,20.0,73.0,248,53.0,3
eNKI,20.0,74.0,248,54.0,3
eNKI,20.0,75.0,372,55.0,3
eNKI,20.0,76.0,264,56.0,3
eNKI,20.0,77.0,264,57.0,3
eNKI,20.0,78.0,396,58.0,3
eNKI,20.0,79.0,296,59.0,3
eNKI,20.0,80.0,296,60.0,3
eNKI,20.0,81.0,444,61.0,3
eNKI,20.0,82.0,320,62.0,3
eNKI,20.0,83.0,320,63.0,3
eNKI,20.0,84.0,432,64.0,3
eNKI,20.0,85.0,356,65.0,3
eNKI,21.0,23.0,52,2.0,3
eNKI,21.0,24.0,104,3.0,3
eNKI,21.0,25.0,120,4.0,3
eNKI,21.0,26.0,108,5.0,3
eNKI,21.0,27.0,108,6.0,3
eNKI,21.0,28.0,120,7.0,3
eNKI,21.0,29.0,104,8.0,3
