,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site
0,0,Pooled data Test,0.738562091503268,0.8104147977273698,0.7333333333333333,0.7189542483660131,low_Q,1000Brains
1,0,Pooled data Train,0.9067103109656302,0.9612237189978596,0.9071661237785016,0.911620294599018,low_Q,1000Brains
2,1,Pooled data Test,0.7058823529411764,0.7933273527275834,0.7133757961783439,0.7320261437908496,low_Q,1000Brains
3,1,Pooled data Train,0.8600654664484452,0.9389747697022133,0.85785536159601,0.8445171849427169,low_Q,1000Brains
4,2,Pooled data Test,0.738562091503268,0.8096458627023794,0.7350993377483444,0.7254901960784313,low_Q,1000Brains
5,2,Pooled data Train,0.8936170212765957,0.9581646893692024,0.8937908496732027,0.8952536824877251,low_Q,1000Brains
6,3,Pooled data Test,0.7245442036463708,0.7807447540419677,0.7290322580645161,0.738562091503268,low_Q,1000Brains
7,3,Pooled data Train,0.8969785950386702,0.960709433800798,0.8973941368078175,0.9018003273322422,low_Q,1000Brains
8,4,Pooled data Test,0.6755245958032335,0.7451840385276917,0.6857142857142857,0.7105263157894737,low_Q,1000Brains
9,4,Pooled data Train,0.8863429714493545,0.9549811195618454,0.8867155664221679,0.8888888888888888,low_Q,1000Brains
10,5,Pooled data Test,0.6764705882352942,0.7406980221282413,0.6775244299674267,0.6797385620915033,low_Q,1000Brains
11,5,Pooled data Train,0.8870703764320786,0.957894144717281,0.8872549019607843,0.8887070376432079,low_Q,1000Brains
12,6,Pooled data Test,0.7254901960784313,0.8001196121149985,0.7254901960784313,0.7254901960784313,low_Q,1000Brains
13,6,Pooled data Train,0.8846153846153846,0.9480581054909851,0.8852725793327909,0.8903436988543372,low_Q,1000Brains
14,7,Pooled data Test,0.7581699346405228,0.7972147464650349,0.756578947368421,0.7516339869281046,low_Q,1000Brains
15,7,Pooled data Train,0.8936170212765957,0.9567744648707145,0.8934426229508197,0.8919803600654664,low_Q,1000Brains
16,8,Pooled data Test,0.7606854145166839,0.8278293773649811,0.759075907590759,0.7516339869281046,low_Q,1000Brains
17,8,Pooled data Train,0.9043355476396778,0.9588695270797899,0.9044897959183673,0.9067103109656302,low_Q,1000Brains
18,9,Pooled data Test,0.7541064671482628,0.8363003095975231,0.7540983606557377,0.756578947368421,low_Q,1000Brains
19,9,Pooled data Train,0.8904266016281035,0.9576848196998383,0.8914100486223663,0.8986928104575164,low_Q,1000Brains
20,10,Pooled data Test,0.7418300653594772,0.8218206672647272,0.7303754266211604,0.6993464052287581,low_Q,1000Brains
21,10,Pooled data Train,0.8887070376432078,0.9538681188574979,0.8876033057851239,0.8788870703764321,low_Q,1000Brains
22,11,Pooled data Test,0.7189542483660131,0.7840574138151991,0.7225806451612903,0.7320261437908496,low_Q,1000Brains
23,11,Pooled data Train,0.8944353518821604,0.9592843692157688,0.8952071486596264,0.9018003273322422,low_Q,1000Brains
24,12,Pooled data Test,0.6928104575163399,0.7601777094279978,0.6948051948051948,0.6993464052287581,low_Q,1000Brains
25,12,Pooled data Train,0.8797054009819967,0.9508840917066012,0.8792111750205424,0.8756137479541735,low_Q,1000Brains
26,13,Pooled data Test,0.757438940488476,0.8289043687650499,0.7533333333333333,0.738562091503268,low_Q,1000Brains
27,13,Pooled data Train,0.9027015607115733,0.961410095953275,0.9030154849225754,0.9067103109656302,low_Q,1000Brains
28,14,Pooled data Test,0.6820605435156519,0.7660818713450294,0.6900958466453674,0.7105263157894737,low_Q,1000Brains
29,14,Pooled data Train,0.8896243167206872,0.9568664890942737,0.8885218827415359,0.8790849673202614,low_Q,1000Brains
30,15,Pooled data Test,0.7418300653594772,0.8231449442522106,0.7392739273927392,0.7320261437908496,low_Q,1000Brains
31,15,Pooled data Train,0.900163666121113,0.9618103455203431,0.8998357963875205,0.8968903436988543,low_Q,1000Brains
32,16,Pooled data Test,0.6797385620915033,0.7826904182152162,0.6776315789473685,0.673202614379085,low_Q,1000Brains
33,16,Pooled data Train,0.8878887070376432,0.9545217118779817,0.8881632653061224,0.8903436988543372,low_Q,1000Brains
34,17,Pooled data Test,0.7941176470588235,0.8714169763766073,0.8061538461538461,0.8562091503267973,low_Q,1000Brains
35,17,Pooled data Train,0.8895253682487725,0.9546743954934226,0.8903330625507717,0.8968903436988543,low_Q,1000Brains
36,18,Pooled data Test,0.6852855177158583,0.768016855865153,0.6821192052980133,0.673202614379085,low_Q,1000Brains
37,18,Pooled data Train,0.8781676882427821,0.9445006043879636,0.877968877968878,0.8772504091653028,low_Q,1000Brains
38,19,Pooled data Test,0.7114723082215342,0.7781647746818025,0.7105263157894737,0.7105263157894737,low_Q,1000Brains
39,19,Pooled data Train,0.8904266016281035,0.9637447450338565,0.8914100486223663,0.8986928104575164,low_Q,1000Brains
40,20,Pooled data Test,0.7287581699346405,0.7920885129650987,0.710801393728223,0.6666666666666666,low_Q,1000Brains
41,20,Pooled data Train,0.8764320785597381,0.9460250026116934,0.8759244042728019,0.8723404255319149,low_Q,1000Brains
42,21,Pooled data Test,0.761437908496732,0.8186594899397667,0.7711598746081505,0.803921568627451,low_Q,1000Brains
43,21,Pooled data Train,0.886252045826514,0.9539806225741385,0.886899918633035,0.8919803600654664,low_Q,1000Brains
44,22,Pooled data Test,0.7418300653594772,0.7942244435900722,0.7459807073954984,0.7581699346405228,low_Q,1000Brains
45,22,Pooled data Train,0.8911620294599019,0.9585289871183245,0.8921330089213301,0.900163666121113,low_Q,1000Brains
46,23,Pooled data Test,0.7212117303061576,0.7920106639146887,0.7301587301587301,0.7516339869281046,low_Q,1000Brains
47,23,Pooled data Train,0.9010635623589316,0.9600622573088156,0.9010629599345871,0.9018003273322422,low_Q,1000Brains
48,24,Pooled data Test,0.7475060199518404,0.8221964224286207,0.7441860465116279,0.7368421052631579,low_Q,1000Brains
49,24,Pooled data Train,0.9067811794657852,0.9596905319683794,0.9074675324675324,0.9133986928104575,low_Q,1000Brains
50,0,Pooled data Test,0.6862745098039216,0.7588534324405143,0.6962025316455697,0.7189542483660131,high_Q,1000Brains
51,0,Pooled data Train,0.8657937806873977,0.9443240535624837,0.8651315789473685,0.8608837970540099,high_Q,1000Brains
52,1,Pooled data Test,0.7124183006535947,0.8109274210773635,0.7161290322580646,0.7254901960784313,high_Q,1000Brains
53,1,Pooled data Train,0.8649754500818331,0.9469330683245787,0.8635235732009926,0.8543371522094927,high_Q,1000Brains
54,2,Pooled data Test,0.6633986928104575,0.7471485326156606,0.670926517571885,0.6862745098039216,high_Q,1000Brains
55,2,Pooled data Train,0.855973813420622,0.9422748787236721,0.8557377049180328,0.8543371522094927,high_Q,1000Brains
56,3,Pooled data Test,0.6983359133126935,0.7784657722738219,0.7012987012987013,0.7058823529411765,high_Q,1000Brains
57,3,Pooled data Train,0.8552704769851203,0.9429067317052299,0.8545603944124898,0.851063829787234,high_Q,1000Brains
58,4,Pooled data Test,0.7018188854489165,0.796998624011008,0.7165109034267912,0.756578947368421,high_Q,1000Brains
59,4,Pooled data Train,0.8544574949456051,0.9427997603842411,0.8543371522094927,0.8529411764705882,high_Q,1000Brains
60,5,Pooled data Test,0.6274509803921569,0.7059677901661754,0.6481481481481481,0.6862745098039216,high_Q,1000Brains
61,5,Pooled data Train,0.867430441898527,0.9511921375974027,0.8682926829268293,0.8739770867430442,high_Q,1000Brains
62,6,Pooled data Test,0.6699346405228759,0.7502669913281216,0.6666666666666666,0.6601307189542484,high_Q,1000Brains
63,6,Pooled data Train,0.8625204582651391,0.9454276614495299,0.8618421052631579,0.8576104746317512,high_Q,1000Brains
64,7,Pooled data Test,0.7320261437908497,0.8290401127771369,0.7337662337662337,0.738562091503268,high_Q,1000Brains
65,7,Pooled data Train,0.8584288052373159,0.9412221653751062,0.8566694283347142,0.8461538461538461,high_Q,1000Brains
66,8,Pooled data Test,0.7245657034743722,0.803233574131407,0.7272727272727273,0.7320261437908496,high_Q,1000Brains
67,8,Pooled data Train,0.847099205203085,0.9384139362236984,0.8473469387755102,0.8494271685761048,high_Q,1000Brains
68,9,Pooled data Test,0.6885104919160647,0.7837547299621603,0.6864686468646864,0.6842105263157895,high_Q,1000Brains
69,9,Pooled data Train,0.8569138239038114,0.946204122674711,0.8562037797863599,0.8513071895424836,high_Q,1000Brains
70,10,Pooled data Test,0.7418300653594772,0.8235721303772053,0.7523510971786834,0.7843137254901961,high_Q,1000Brains
71,10,Pooled data Train,0.8608837970540097,0.9423739891407128,0.860655737704918,0.8592471358428805,high_Q,1000Brains
72,11,Pooled data Test,0.6568627450980392,0.7677389038404032,0.6601941747572816,0.6666666666666666,high_Q,1000Brains
73,11,Pooled data Train,0.8567921440261865,0.9426766777116744,0.8564397046759639,0.8543371522094927,high_Q,1000Brains
74,12,Pooled data Test,0.673202614379085,0.7248494168909394,0.6666666666666666,0.6535947712418301,high_Q,1000Brains
75,12,Pooled data Train,0.8625204582651391,0.9505385445769191,0.8625204582651391,0.8625204582651391,high_Q,1000Brains
76,13,Pooled data Test,0.7080538355693154,0.7655228758169934,0.7210031347962382,0.7516339869281046,high_Q,1000Brains
77,13,Pooled data Train,0.8699736850550368,0.9420830525336157,0.8669456066945607,0.8477905073649754,high_Q,1000Brains
78,14,Pooled data Test,0.691842965256278,0.779497764017888,0.6948051948051948,0.7039473684210527,high_Q,1000Brains
79,14,Pooled data Train,0.8634551201822791,0.9454312548805666,0.8627773212818406,0.8578431372549019,high_Q,1000Brains
80,15,Pooled data Test,0.7156862745098038,0.7764535007902942,0.7355623100303952,0.7908496732026143,high_Q,1000Brains
81,15,Pooled data Train,0.8600654664484452,0.9451812247368887,0.85995085995086,0.8592471358428805,high_Q,1000Brains
82,16,Pooled data Test,0.6993464052287581,0.798880772352514,0.695364238410596,0.6862745098039216,high_Q,1000Brains
83,16,Pooled data Train,0.8723404255319149,0.9478545273370638,0.8717105263157895,0.867430441898527,high_Q,1000Brains
84,17,Pooled data Test,0.6993464052287581,0.7788457430902644,0.7070063694267515,0.7254901960784313,high_Q,1000Brains
85,17,Pooled data Train,0.855973813420622,0.94540355351025,0.8550247116968699,0.8494271685761048,high_Q,1000Brains
86,18,Pooled data Test,0.6558307533539731,0.7556759545923633,0.6464646464646465,0.6274509803921569,high_Q,1000Brains
87,18,Pooled data Train,0.8732523560433447,0.9453323064086517,0.8715824357912179,0.8608837970540099,high_Q,1000Brains
88,19,Pooled data Test,0.6916924664602684,0.7783797729618164,0.6802721088435374,0.6578947368421053,high_Q,1000Brains
89,19,Pooled data Train,0.8683557438250805,0.944909769690746,0.8685714285714285,0.869281045751634,high_Q,1000Brains
90,20,Pooled data Test,0.6862745098039216,0.7647486009654407,0.6862745098039216,0.6862745098039216,high_Q,1000Brains
91,20,Pooled data Train,0.8657937806873978,0.9493572555521923,0.8642384105960265,0.8543371522094927,high_Q,1000Brains
92,21,Pooled data Test,0.673202614379085,0.7416378316032294,0.6774193548387096,0.6862745098039216,high_Q,1000Brains
93,21,Pooled data Train,0.8739770867430442,0.9513046413140434,0.8725165562913907,0.8625204582651391,high_Q,1000Brains
94,22,Pooled data Test,0.7712418300653595,0.8507838865393651,0.7770700636942676,0.7973856209150327,high_Q,1000Brains
95,22,Pooled data Train,0.8527004909983633,0.9417525400392692,0.8522167487684729,0.8494271685761048,high_Q,1000Brains
96,23,Pooled data Test,0.7080538355693154,0.7757567939456484,0.7210031347962382,0.7516339869281046,high_Q,1000Brains
97,23,Pooled data Train,0.8569058010547372,0.94439095878395,0.8562037797863599,0.8527004909983633,high_Q,1000Brains
98,24,Pooled data Test,0.6916494668042656,0.7577829377364982,0.6758620689655173,0.6447368421052632,high_Q,1000Brains
99,24,Pooled data Train,0.8593621300129435,0.9397992148305039,0.8594771241830066,0.8594771241830066,high_Q,1000Brains
