,Fold,Model,Balanced ACC,AUC,F1,Recall,QC_Sampling,Site
0,0,Single site Test,0.575,0.665,0.6046511627906976,0.65,low_Q,SALD
1,0,Single site Train,0.91875,0.9659375,0.9192546583850931,0.925,low_Q,SALD
2,1,Single site Test,0.675,0.61,0.6486486486486487,0.6,low_Q,SALD
3,1,Single site Train,0.94375,0.9875,0.9440993788819876,0.95,low_Q,SALD
4,2,Single site Test,0.5,0.46499999999999997,0.47368421052631576,0.45,low_Q,SALD
5,2,Single site Train,0.95,0.9929687500000001,0.95,0.95,low_Q,SALD
6,3,Single site Test,0.6,0.7025,0.5294117647058824,0.45,low_Q,SALD
7,3,Single site Train,0.94375,0.9928125,0.9440993788819876,0.95,low_Q,SALD
8,4,Single site Test,0.625,0.67,0.6511627906976745,0.7,low_Q,SALD
9,4,Single site Train,0.94375,0.9784375000000001,0.9440993788819876,0.95,low_Q,SALD
10,5,Single site Test,0.625,0.665,0.6341463414634146,0.65,low_Q,SALD
11,5,Single site Train,0.9375,0.98984375,0.9375,0.9375,low_Q,SALD
12,6,Single site Test,0.55,0.5974999999999999,0.47058823529411764,0.4,low_Q,SALD
13,6,Single site Train,0.90625,0.96875,0.9056603773584906,0.9,low_Q,SALD
14,7,Single site Test,0.575,0.665,0.5853658536585366,0.6,low_Q,SALD
15,7,Single site Train,0.9375,0.9868750000000001,0.9375,0.9375,low_Q,SALD
16,8,Single site Test,0.725,0.76,0.7555555555555555,0.85,low_Q,SALD
17,8,Single site Train,0.93125,0.9821875,0.9308176100628931,0.925,low_Q,SALD
18,9,Single site Test,0.5,0.5449999999999999,0.5454545454545454,0.6,low_Q,SALD
19,9,Single site Train,0.9437500000000001,0.9853124999999999,0.9426751592356688,0.925,low_Q,SALD
20,10,Single site Test,0.525,0.5800000000000001,0.5581395348837209,0.6,low_Q,SALD
21,10,Single site Train,0.9437500000000001,0.98109375,0.9426751592356688,0.925,low_Q,SALD
22,11,Single site Test,0.675,0.6725,0.6829268292682927,0.7,low_Q,SALD
23,11,Single site Train,0.9,0.97,0.8974358974358975,0.875,low_Q,SALD
24,12,Single site Test,0.625,0.6499999999999999,0.6153846153846154,0.6,low_Q,SALD
25,12,Single site Train,0.93125,0.98421875,0.9308176100628931,0.925,low_Q,SALD
26,13,Single site Test,0.65,0.6725,0.65,0.65,low_Q,SALD
27,13,Single site Train,0.95,0.99109375,0.9506172839506173,0.9625,low_Q,SALD
28,14,Single site Test,0.475,0.545,0.4878048780487805,0.5,low_Q,SALD
29,14,Single site Train,0.9375,0.98703125,0.9390243902439024,0.9625,low_Q,SALD
30,15,Single site Test,0.525,0.6150000000000001,0.5128205128205128,0.5,low_Q,SALD
31,15,Single site Train,0.93125,0.98484375,0.9308176100628931,0.925,low_Q,SALD
32,16,Single site Test,0.6499999999999999,0.7525,0.6666666666666666,0.7,low_Q,SALD
33,16,Single site Train,0.925,0.9799999999999999,0.9240506329113924,0.9125,low_Q,SALD
34,17,Single site Test,0.575,0.6925,0.6222222222222222,0.7,low_Q,SALD
35,17,Single site Train,0.8999999999999999,0.97375,0.9012345679012346,0.9125,low_Q,SALD
36,18,Single site Test,0.5,0.565,0.5,0.5,low_Q,SALD
37,18,Single site Train,0.925,0.9828125,0.9240506329113924,0.9125,low_Q,SALD
38,19,Single site Test,0.625,0.6325000000000001,0.6341463414634146,0.65,low_Q,SALD
39,19,Single site Train,0.95625,0.994375,0.9565217391304348,0.9625,low_Q,SALD
40,20,Single site Test,0.55,0.6775,0.55,0.55,low_Q,SALD
41,20,Single site Train,0.90625,0.9734375,0.9056603773584906,0.9,low_Q,SALD
42,21,Single site Test,0.65,0.7175,0.6818181818181818,0.75,low_Q,SALD
43,21,Single site Train,0.94375,0.98703125,0.9433962264150944,0.9375,low_Q,SALD
44,22,Single site Test,0.55,0.69,0.5909090909090909,0.65,low_Q,SALD
45,22,Single site Train,0.91875,0.9884375,0.9192546583850931,0.925,low_Q,SALD
46,23,Single site Test,0.6,0.6599999999999999,0.5555555555555556,0.5,low_Q,SALD
47,23,Single site Train,0.9125000000000001,0.9751562500000001,0.9135802469135802,0.925,low_Q,SALD
48,24,Single site Test,0.6000000000000001,0.6275,0.6190476190476191,0.65,low_Q,SALD
49,24,Single site Train,0.95625,0.98515625,0.9565217391304348,0.9625,low_Q,SALD
50,0,Single site Test,0.5,0.5449999999999999,0.5238095238095238,0.55,high_Q,SALD
51,0,Single site Train,0.96875,0.98953125,0.968944099378882,0.975,high_Q,SALD
52,1,Single site Test,0.675,0.8049999999999999,0.6976744186046512,0.75,high_Q,SALD
53,1,Single site Train,0.95625,0.98890625,0.9559748427672956,0.95,high_Q,SALD
54,2,Single site Test,0.65,0.5425,0.5882352941176471,0.5,high_Q,SALD
55,2,Single site Train,0.98125,0.99390625,0.9811320754716981,0.975,high_Q,SALD
56,3,Single site Test,0.725,0.815,0.717948717948718,0.7,high_Q,SALD
57,3,Single site Train,0.95625,0.99109375,0.9575757575757575,0.9875,high_Q,SALD
58,4,Single site Test,0.6499999999999999,0.7225,0.631578947368421,0.6,high_Q,SALD
59,4,Single site Train,0.9437500000000001,0.9978125,0.9461077844311377,0.9875,high_Q,SALD
60,5,Single site Test,0.725,0.7749999999999999,0.717948717948718,0.7,high_Q,SALD
61,5,Single site Train,0.925,0.9831249999999999,0.9259259259259259,0.9375,high_Q,SALD
